SHUTTLE CAPTAIN	command station this is st 321 code clearance blue we am starting our approach deactivate the security shield
DEATH STAR CONTROLLER	the security deflector shield will be deactivated when we have confirmation of your code transmission stand by  you are clear to proceed
SHUTTLE CAPTAIN	we am starting our approach
===	===
OFFICER	inform the commander that lord vader will shuttle has arrived
OPERATOR	yes sir
===	===
JERJERROD	lord vader this is an unexpected pleasure we am honored by your presence
ANAKIN	you may dispense with the pleasantries commander ilet us here to put you back on schedule
JERJERROD	i assure you lord vader my men are working as fast as they can
ANAKIN	perhaps i can find new ways to motivate them
JERJERROD	i tell you this station will be operational as planned
ANAKIN	the emperor does not share your optimistic appraisal of the situation
JERJERROD	but he asks the impossible i need more men
ANAKIN	then perhaps you can tell him when he arrives
JERJERROD	the emperor will coming here
ANAKIN	that is correct commander and he is most displeased with your apparent lack of progress
JERJERROD	we shall double our efforts
ANAKIN	i hope so commander for your sake the emperor is not as forgiving as i am
===	===
C-3PO	of course ilet us worried and you should be too lando calrissian and poor chewbacca never returned from this awful place docan not be so sure if i told you half the things i are heard about this jabba the hutt you is probably shortcircuit artoo are you sure this is the right place i better knock i suppose
===	===
C-3PO	there doescan not seem to be anyone there let will go back and tell master luke
STRANGE VOICE	tee chuta hhat yudd
C-3PO	goodness gracious me artoo detoowha bo seethreepiowha ey toota odd mischka jabba du hutt i docan not think they am going to let us in artoo we is better go artoo wait oh dear artoo artoo i really docan not think we should rush into all this oh artoo  artoo wait for me
===	===
C-3PO	just you deliver master luke will message and get us out of here oh my oh oh no
BIB	die wanna wanga
C-3PO	oh my die wanna wauaga we   we bring a message to your master jabba the hutt   and a gift thinks a moment then to artoo gift what gift
BIB	nee jabba no badda me chaade su goodie
C-3PO	he says that our instructions are to give it only to jabba himself ilet us terribly sorry ilet us afraid he will ever so stubborn about these sort of things
BIB	nudd chaa
C-3PO	artoo i have a bad feeling about this
===	===
C-3PO	good morning
JABBA	bo shuda
C-3PO	the message artoo the message
LUKE	greetings exalted one allow me to introduce myself i am luke skywalker jedi knight and friend to captain solo i know that you are powerful mighty jabba and that your anger with solo must be equally powerful i seek an audience with your greatness to bargain for solo will life jabba will crowd laughs with your wisdom ilet us sure that we can work out an arrangement which will be mutually beneficial and enable us to avoid any unpleasant confrontation as a token of my goodwill i present to you a gift these two droids
C-3PO	what did he say
LUKE	  both are hardworking and will serve you well
C-3PO	this  had be artoo you am playing the wrong message
JABBA	there will be no bargain
C-3PO	we am doomed
JABBA	i will not give up my favorite decoration i like captain solo where he is
C-3PO	artoo look captain solo and he will still frozen in carbonite
===	===
C-3PO	what could possibly have come over master luke is it something i did he never expressed any unhappiness with my work oh oh hold it ohh
===	===
NINEDENINE	ah good new acquisitions you are a protocol droid are you not
C-3PO	i am seethreepio humancy 
NINEDENINE	yes or no will do
C-3PO	oh well yes
NINEDENINE	how many languages do you speak
C-3PO	i am fluent in over six million forms of communication and can readily 
NINEDENINE	splendid we have been without an interpreter since our master got angry with our last protocol droid and disintegrated him
C-3PO	disintegrated
NINEDENINE	guard this protocol droid might be useful fit him with a restraining bolt and take him back to his excellency will main audience chamber
C-3PO	artoo docan not leave me ohhh
NINEDENINE	you am a feisty little one but you have soon learn some respect i have need for you on the master will sail barge and i think you have fit in nicely
===	===
JABBA	da eitha
OOLA	na chuba negatorie na na natoota 
JABBA	boscka
BOUSHH	i have come for the bounty on this wookiee
C-3PO	oh no chewbacca
JABBA	at last we have the mighty chewbacca
C-3PO	oh uh yes uh i am here your worshipfulness uh  yes oh the illustrious jabba bids you welcome and will gladly pay you the reward of twenty five thousand
BOUSHH	i want fifty thousand no less
C-3PO	uh oh  but what what did i say to boushh uh the mighty jabba asks why he must pay fifty thousand because he will holding a thermal detonator
JABBA	this bounty hunter is my kind of scum fearless and inventive
C-3PO	jabba offers the sum of thirtyfive and i suggest you take it
BOUSHH	zeebuss
C-3PO	he agrees
===	===
BOUSHH	just relax for a moment you am free of the carbonite shhh you have hibernation sickness
HAN	i  had see
BOUSHH	you eyesight will return in time
HAN	where am i
BOUSHH	jabba will palace
HAN	who are you
LEIA	someone who loves you
HAN	leia
LEIA	i gotta get you out of here
HAN	what will that i know that laugh hey jabba look jabba i was just on my way to pay you back but i got a little sidetracked it will not my fault
JABBA	it will too late for that solo you may have been a good smuggler but now you am bantha fodder
HAN	look 
JABBA	take him away
HAN	jabba  i have pay you triple you am throwing away a fortune here docan not be a fool
JABBA	bring her to me
LEIA	we have powerful friends you am gonna regret this 
JABBA	ilet us sure
LEIA	ugh
C-3PO	ohhh i  had bear to watch
===	===
HAN	chewie chewie is that you ah chew chewie wait i  had see pal what will goin  on luke luke will crazy he  had even take care of himself much less rescue anybody a jedi knight i ilet us out of it for a little while everybody gets delusions of grandeur ilet us all right pal ilet us all right
===	===
LUKE	i must speak with jabba you will take me to jabba now you serve your master well and you will be rewarded
===	===
C-3PO	at last master luke will come to rescue me
BIB	master  luke skywalker jedi knight
JABBA	i told you not to admit him
LUKE	i must be allowed to speak
BIB	he must be allowed to speak
JABBA	you weakminded fool he will using an old jedi mind trick
LUKE	you will bring captain solo and the wookiee to me
JABBA	your mind powers will not work on me boy
LUKE	nevertheless ilet us taking captain solo and his friends you can either profit by this  or be destroyed it will your choice but i warn you not to underestimate my powers
C-3PO	master luke you am standing on 
JABBA	there will be no bargain young jedi i shall enjoy watching you die bascka
===	===
C-3PO	oh no the rancor
===	===
JABBA	bring me solo and the wookiee they will all suffer for this outrage
===	===
LUKE	han
HAN	luke
LUKE	are you all right
HAN	fine together again huh
LUKE	wouldcan not miss it
HAN	how are we doing
LUKE	the same as always
HAN	that bad huh where will leia
LEIA	ilet us here
C-3PO	oh dear his high exaltedness the great jabba the hutt has decreed that you are to be terminated immediately
HAN	good i hate long waits
C-3PO	you will therefore be taken to the dune sea and cast into the pit of carkoon the nesting place of the allpowerful sarlacc
HAN	doescan not sound so bad
C-3PO	in his belly you will find a new definition of pain and suffering as you are slowly digested over a thousand years
HAN	on second thought would not pass on that huh
LUKE	you should have bargained jabba that will the last mistake you have ever make
===	===
HAN	i think my eyes are getting better instead of a big dark blur i see a big light blur
LUKE	there will nothing to see i used to live here you know
HAN	you am gonna die here you know convenient
LUKE	just stick close to chewie and lando i are taken care of everything
HAN	oh  great
===	===
JABBA	soon you will learn to appreciate me
C-3PO	oh ilet us terribly sor  artoo what are you doing here well i can see you am serving drinks but this place is dangerous they am going to execute master luke and if we am not careful us too hmm  i wish i had your confidence
===	===
C-3PO	victims of the almighty sarlacc his excellency hopes that you will die honorably but should any of you wish to beg for mercy the great jabba the hutt will now listen to your pleas
===	===
HAN	threepio you tell that slimy piece of  wormridden filth he have get no such pleasure from us right
LUKE	jabba this is your last chance free us or die
===	===
JABBA	move him into position
===	===
