ANAKIN	Don't play games with me, Your Highness.  You weren't on any mercy mission this time.  You passed directly through a restricted system.  Several transmissions were beamed to this ship by Rebel spies. I want to know what happened to the plans they sent you.
LEIA	I don't know what you're talking about.  I'm a member of the Imperial Senate on a diplomatic mission to Alderaan...
===	===
LUKE	Well, my little friend, you've got something jammed in here real good.  Were you on a starcruiser or...
LEIA	Help me, Obi-Wan Kenobi.  You're my only hope.
C-3PO	What is what?!?  He asked you a question... What is that?
LEIA	Help me, Obi-Wan Kenobi.  You're my only hope.  Help me, Obi-Wan Kenobi.  You're my only hope.
C-3PO	I'm afraid I'm not quite sure, sir.
LEIA	Help me, Obi-Wan Kenobi...
===	===
OBI-WAN	I seem to have found it.
LEIA	General Kenobi, years ago you served my father in the Clone Wars.  Now he begs you to help him in his struggle against the Empire.  I regret that I am unable to present my father's request to you in person, but my ship has fallen under attack and I'm afraid my mission to bring you to Alderaan has failed.  I have placed information vital to the survival of the Rebellion into the memory systems of this R2 unit.  My father will know how to retrieve it.  You must see this droid safely delivered to him on Alderaan.  This is our most desperate hour.  Help me, Obi-Wan Kenobi, you're my only hope.
===	===
MOTTI	We've entered the Alderaan system.
LEIA	Governor Tarkin, I should have expected to find you holding Vader's leash.  I recognized your foul stench when I was brought on board.
TARKIN	Charming to the last.  You don't know how hard I found it signing the order to terminate your life!
LEIA	IÕm surprised you had the courage to take the responsibility yourself!
TARKIN	Princess Leia, before your execution I would like you to be my guest at a ceremony that will make this battle station operational.  No star system will dare oppose the Emperor now.
LEIA	The more you tighten your grip, Tarkin, the more star systems will slip through your fingers.
TARKIN	Not after we demonstrate the power of this station.  In a way, you have determined the choice of the planet that'll be destroyed first. Since you are reluctant to provide us with the location of the Rebel base, I have chosen to test this station's destructive power... on your home planet of Alderaan.
LEIA	No!  Alderaan is peaceful.  We have no weapons.  You can't possibly...
TARKIN	You would prefer another target? A military target?  Then name the system! I grow tired of asking this.  So it'll be the last time.  Where is the Rebel base?
LEIA	Dantooine. They're on Dantooine.
TARKIN	There.  You see Lord Vader, she can be reasonable. Continue with the operation.  You may fire when ready.
LEIA	What?
TARKIN	You're far too trusting.  Dantooine is too remote to make an effective demonstration.  But don't worry. We will deal with your Rebel friends soon enough.
LEIA	No!
===	===
LUKE	What?  Oh... the uniform.  I'm Luke Skywalker.  I'm here to rescue you.
LEIA	You're who?
LUKE	I'm here to rescue you.  I've got your R2 unit.  I'm here with Ben Kenobi.
LEIA	Ben Kenobi is here!  Where is he?
===	===
HAN	Chewie! Get behind me!  Get behind me! Can't get out that way.
LEIA	Looks like you managed to cut off our only escape route.
===	===
HAN	I can't hold them off forever! Now what?
LEIA	This is some rescue.  When you came in here, didn't you have a plan for getting out?
HAN	What the hell are you doing?
LEIA	Somebody has to save our skins. Into the garbage chute, wise guy.
===	===
LUKE	No!  wait! Will you forget it?  I already tried it.  It's magnetically sealed!
LEIA	Put that thing away!  You're going to get us all killed.
HAN	Absolutely, Your Worship.  Look, I had everything under control until you led us down here.  You know, it's not going to take them long to figure out what happened to us.
LEIA	It could be worse...
HAN	Luke!  Luke!  Luke!
LEIA	Luke! Luke, Luke, grab a hold of this.
HAN	Luke!  Luke!
LEIA	Grab him! What happened?
LUKE	The walls are moving!
LEIA	Don't just stand there.  Try and brace it with something.
===	===
HAN	Get to the top!
LEIA	I can't
===	===
HAN	One thing's for sure.  We're all going to be a lot thinner! Get on top of it!
LEIA	I'm trying!
===	===
HAN	Where are you going?
LEIA	No, wait.  They'll hear!
HAN	Come here, you big coward! Chewie!  Come here!
LEIA	Listen. I don't know who you are, or where you came from, but from now on, you do as I tell you.  Okay?
HAN	Look, Your Worshipfulness, let's get one thing straight!  I take orders from one person!  Me!
LEIA	It's a wonder you're still alive. Will somebody get this big walking carpet out of my way?
===	===
LUKE	We're right above you.  Stand by.
LEIA	You came in that thing?  You're braver that I thought.
LUKE	Where are you going?  Come back!
LEIA	He certainly has courage.
===	===
LUKE	I think we took a wrong turn.
LEIA	There's no lock!
LUKE	That oughta hold it for a while.
